scenario_description_1/3,scenario_description_2/3,scenario_description_3/3,hypothesis_check_item1,hypothesis_check_item2,hypothesis_check_item3,hypothesis_check_item4
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to trace a six-pointed star. While doing so, the researcher measures how often the traced line goes out of the border.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to draw a variety of shapes described to you verbally. While doing so, the researcher measures how often the drawings have the incorrect angles.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to draw a variety of shapes verbally described to you verbally. While doing so, the researcher measures how often the drawings have incorrect lines.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you complete a word recognition test.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you view an optical illusion and report how many times you succumb to the illusion.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you complete a mental substitution task. The researcher assigns a symbol to specific digits, presents you with a list of digits, and measures how quickly you can  identify the symbol that corresponds to each digit.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you complete a task measuring how many dots you can place in circles  in 30 seconds.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you complete  a task measuring how quickly you can trace a line through irregularly spaced openings.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you complete a task measuring how well you trace complex series of lines.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you view a series of simple shapes (e.g., a circle) from far away and are asked to report how many irregularities you detect.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
