"sub","demand","trial","block.num","happy","att.chk","manip.chk","mot","pre","bel","opp","mot_gen","indiv_gend_var","indiv_agee_var","ethnicity","mot.c","opp.c","bel.c"
"1","pos","hap","1",3,0,1,1,1,1,2,1,"female",19,"asian",0.857868020304569,-0.253807106598985,0.336734693877551
"1","pos","neu","1",3,0,1,1,1,1,2,1,"female",19,"asian",0.857868020304569,-0.253807106598985,0.336734693877551
"1","pos","hap","2",3,0,1,1,1,1,2,1,"female",19,"asian",0.857868020304569,-0.253807106598985,0.336734693877551
"1","pos","neu","2",3,0,1,1,1,1,2,1,"female",19,"asian",0.857868020304569,-0.253807106598985,0.336734693877551
"2","nil","hap","1",0.666666666666667,0,1,0,0,0,3,0,"female",18,"white_caucasian",-0.142131979695431,0.746192893401015,-0.663265306122449
"2","nil","neu","1",0.666666666666667,0,1,0,0,0,3,0,"female",18,"white_caucasian",-0.142131979695431,0.746192893401015,-0.663265306122449
"2","nil","hap","2",1.33333333333333,0,1,0,0,0,3,0,"female",18,"white_caucasian",-0.142131979695431,0.746192893401015,-0.663265306122449
"2","nil","neu","2",0.666666666666667,0,1,0,0,0,3,0,"female",18,"white_caucasian",-0.142131979695431,0.746192893401015,-0.663265306122449
"3","pos","hap","1",1,1,1,1,2,3,2,0,"male",20,"white_caucasian",0.857868020304569,-0.253807106598985,2.33673469387755
"3","pos","neu","1",0,1,1,1,2,3,2,0,"male",20,"white_caucasian",0.857868020304569,-0.253807106598985,2.33673469387755
"3","pos","hap","2",0.666666666666667,1,1,1,2,3,2,0,"male",20,"white_caucasian",0.857868020304569,-0.253807106598985,2.33673469387755
"3","pos","neu","2",0.333333333333333,1,1,1,2,3,2,0,"male",20,"white_caucasian",0.857868020304569,-0.253807106598985,2.33673469387755
"4","nil","hap","1",2.66666666666667,0,0,-3,2,0,2,2,"male",19,"black_african_american",-3.14213197969543,-0.253807106598985,-0.663265306122449
"4","nil","neu","1",0,0,0,-3,2,0,2,2,"male",19,"black_african_american",-3.14213197969543,-0.253807106598985,-0.663265306122449
"4","nil","hap","2",0.666666666666667,0,0,-3,2,0,2,2,"male",19,"black_african_american",-3.14213197969543,-0.253807106598985,-0.663265306122449
"4","nil","neu","2",0,0,0,-3,2,0,2,2,"male",19,"black_african_american",-3.14213197969543,-0.253807106598985,-0.663265306122449
"5","nil","hap","1",0,1,1,0,0,-2,0,0,"male",22,"white_caucasian",-0.142131979695431,-2.25380710659898,-2.66326530612245
"5","nil","neu","1",0,1,1,0,0,-2,0,0,"male",22,"white_caucasian",-0.142131979695431,-2.25380710659898,-2.66326530612245
"5","nil","hap","2",0,1,1,0,0,-2,0,0,"male",22,"white_caucasian",-0.142131979695431,-2.25380710659898,-2.66326530612245
"5","nil","neu","2",0,1,1,0,0,-2,0,0,"male",22,"white_caucasian",-0.142131979695431,-2.25380710659898,-2.66326530612245
"6","pos","hap","1",1.66666666666667,1,1,0,2,1,3,0,"female",21,"white_caucasian",-0.142131979695431,0.746192893401015,0.336734693877551
"6","pos","neu","1",0.666666666666667,1,1,0,2,1,3,0,"female",21,"white_caucasian",-0.142131979695431,0.746192893401015,0.336734693877551
"6","pos","hap","2",1.33333333333333,1,1,0,2,1,3,0,"female",21,"white_caucasian",-0.142131979695431,0.746192893401015,0.336734693877551
"6","pos","neu","2",1,1,1,0,2,1,3,0,"female",21,"white_caucasian",-0.142131979695431,0.746192893401015,0.336734693877551
"7","pos","hap","1",3.66666666666667,1,1,3,3,0,4,0,"female",20,"black_african_american",2.85786802030457,1.74619289340102,-0.663265306122449
"7","pos","neu","1",0,1,1,3,3,0,4,0,"female",20,"black_african_american",2.85786802030457,1.74619289340102,-0.663265306122449
"7","pos","hap","2",2,1,1,3,3,0,4,0,"female",20,"black_african_american",2.85786802030457,1.74619289340102,-0.663265306122449
"7","pos","neu","2",0,1,1,3,3,0,4,0,"female",20,"black_african_american",2.85786802030457,1.74619289340102,-0.663265306122449
