"lab","info.pres","m.rating","sd.rating","n","modality","incentive"
"DNK_01","no",2.86,1.28,79,"online","paid"
"DNK_01","yes",2.72,1.54,79,"online","paid"
"MYS_01","no",2.44,0.73,8,"online","volunteer"
"MYS_01","yes",2.25,0.86,8,"online","volunteer"
"POL_01","no",2.84,1.37,69,"online","paid"
"POL_01","yes",2.62,1.53,69,"online","paid"
"TUR_01","no",2.97,1.11,36,"online","credit"
"TUR_01","yes",2.85,1.62,36,"online","credit"
"USA_01","no",3.16,1.44,78,"online","credit"
"USA_01","yes",3.27,1.69,78,"online","credit"
"USA_02","no",2.88,1.53,98,"online","paid"
"USA_02","yes",3.6,1.9,98,"online","paid"
