"ResponseId","sex","age","attention_check","lab","modality","incentive","orientation","info","prq_g_1","prq_g_2","prq_o_1","prq_o_2","prq_a_1","prq_a_2","prq_p_1","prq_p_2","prq_n_1","prq_n_2","prq_w_1","prq_w_2","trial","value","info.pres","just"
"R_2lidzsTMLnIiq31",2,70,5,"POL_01","online","paid","left.c","demand",10,4,8,10,10,5,10,10,8,2,10,9,"stim_lef_sma_mkn",2,"no","left"
"R_2lidzsTMLnIiq31",2,70,5,"POL_01","online","paid","left.c","demand",10,4,8,10,10,5,10,10,8,2,10,9,"stim_lef_lar_mkn",1,"no","left"
"R_2lidzsTMLnIiq31",2,70,5,"POL_01","online","paid","left.c","demand",10,4,8,10,10,5,10,10,8,2,10,9,"stim_rig_lar_mky",2,"yes","right"
"R_2lidzsTMLnIiq31",2,70,5,"POL_01","online","paid","left.c","demand",10,4,8,10,10,5,10,10,8,2,10,9,"stim_rig_sma_mky",3,"yes","right"
"R_2fdhhziXMIzDvkp",1,65,4,"POL_01","online","paid","left.c","demand",7,1,10,10,5,5,10,10,1,1,4,8,"stim_lef_sma_mkn",3,"no","left"
"R_2fdhhziXMIzDvkp",1,65,4,"POL_01","online","paid","left.c","demand",7,1,10,10,5,5,10,10,1,1,4,8,"stim_lef_lar_mkn",2,"no","left"
"R_2fdhhziXMIzDvkp",1,65,4,"POL_01","online","paid","left.c","demand",7,1,10,10,5,5,10,10,1,1,4,8,"stim_rig_lar_mky",2,"yes","right"
"R_2fdhhziXMIzDvkp",1,65,4,"POL_01","online","paid","left.c","demand",7,1,10,10,5,5,10,10,1,1,4,8,"stim_rig_sma_mky",4,"yes","right"
"R_2uEvTqxJ96RX4pG",1,75,5,"POL_01","online","paid","left.c","conform",8,5,5,6,6,6,5,5,5,3,5,6,"stim_lef_sma_mkn",4,"no","left"
"R_2uEvTqxJ96RX4pG",1,75,5,"POL_01","online","paid","left.c","conform",8,5,5,6,6,6,5,5,5,3,5,6,"stim_lef_lar_mkn",4,"no","left"
"R_2uEvTqxJ96RX4pG",1,75,5,"POL_01","online","paid","left.c","conform",8,5,5,6,6,6,5,5,5,3,5,6,"stim_rig_lar_mky",2,"yes","right"
"R_2uEvTqxJ96RX4pG",1,75,5,"POL_01","online","paid","left.c","conform",8,5,5,6,6,6,5,5,5,3,5,6,"stim_rig_sma_mky",4,"yes","right"
"R_3404zjjEuI0ANR7",2,55,5,"POL_01","online","paid","left.c","conform",1,1,10,10,1,10,1,10,1,1,10,10,"stim_lef_sma_mkn",4,"no","left"
"R_3404zjjEuI0ANR7",2,55,5,"POL_01","online","paid","left.c","conform",1,1,10,10,1,10,1,10,1,1,10,10,"stim_lef_lar_mkn",4,"no","left"
"R_3404zjjEuI0ANR7",2,55,5,"POL_01","online","paid","left.c","conform",1,1,10,10,1,10,1,10,1,1,10,10,"stim_rig_lar_mky",2,"yes","right"
"R_3404zjjEuI0ANR7",2,55,5,"POL_01","online","paid","left.c","conform",1,1,10,10,1,10,1,10,1,1,10,10,"stim_rig_sma_mky",1,"yes","right"
"R_1oHrt6HE8y9xbPQ",1,61,4,"POL_01","online","paid","left.c","conform",1,5,10,10,10,1,10,9,1,1,10,10,"stim_lef_sma_mkn",1,"no","left"
"R_1oHrt6HE8y9xbPQ",1,61,4,"POL_01","online","paid","left.c","conform",1,5,10,10,10,1,10,9,1,1,10,10,"stim_lef_lar_mkn",2,"no","left"
"R_1oHrt6HE8y9xbPQ",1,61,4,"POL_01","online","paid","left.c","conform",1,5,10,10,10,1,10,9,1,1,10,10,"stim_rig_lar_mky",1,"yes","right"
"R_1oHrt6HE8y9xbPQ",1,61,4,"POL_01","online","paid","left.c","conform",1,5,10,10,10,1,10,9,1,1,10,10,"stim_rig_sma_mky",2,"yes","right"
"R_5ihbHmY0dy0RuHH",1,32,4,"POL_01","online","paid","left.c","demand",1,1,1,1,5,1,5,1,1,1,1,1,"stim_lef_sma_mkn",5,"no","left"
"R_5ihbHmY0dy0RuHH",1,32,4,"POL_01","online","paid","left.c","demand",1,1,1,1,5,1,5,1,1,1,1,1,"stim_lef_lar_mkn",2,"no","left"
"R_5ihbHmY0dy0RuHH",1,32,4,"POL_01","online","paid","left.c","demand",1,1,1,1,5,1,5,1,1,1,1,1,"stim_rig_lar_mky",2,"yes","right"
"R_5ihbHmY0dy0RuHH",1,32,4,"POL_01","online","paid","left.c","demand",1,1,1,1,5,1,5,1,1,1,1,1,"stim_rig_sma_mky",2,"yes","right"
"R_2QoysBGv5LjJagg",2,32,5,"POL_01","online","paid","left.c","demand",1,6,8,7,9,8,6,4,1,1,8,9,"stim_lef_sma_mkn",3,"no","left"
"R_2QoysBGv5LjJagg",2,32,5,"POL_01","online","paid","left.c","demand",1,6,8,7,9,8,6,4,1,1,8,9,"stim_lef_lar_mkn",3,"no","left"
