"","ResponseId","sex","age","attention_check","lab","modality","incentive","orientation","info","prq_g_1","prq_g_2","prq_o_1","prq_o_2","prq_a_1","prq_a_2","prq_p_1","prq_p_2","prq_n_1","prq_n_2","prq_w_1","prq_w_2","trial","value","info.pres","just"
"1","R_2lidzsTMLnIiq31",2,70,5,"POL_01","online","paid","left.c","demand",10,4,8,10,10,5,10,10,8,2,10,9,"stim_lef_sma_mkn",2,"no","left"
"2","R_2lidzsTMLnIiq31",2,70,5,"POL_01","online","paid","left.c","demand",10,4,8,10,10,5,10,10,8,2,10,9,"stim_lef_lar_mkn",1,"no","left"
"3","R_2lidzsTMLnIiq31",2,70,5,"POL_01","online","paid","left.c","demand",10,4,8,10,10,5,10,10,8,2,10,9,"stim_rig_sma_mkn",NA,"no","right"
"4","R_2lidzsTMLnIiq31",2,70,5,"POL_01","online","paid","left.c","demand",10,4,8,10,10,5,10,10,8,2,10,9,"stim_rig_lar_mkn",NA,"no","right"
"5","R_2lidzsTMLnIiq31",2,70,5,"POL_01","online","paid","left.c","demand",10,4,8,10,10,5,10,10,8,2,10,9,"stim_rig_lar_mky",2,"yes","right"
"6","R_2lidzsTMLnIiq31",2,70,5,"POL_01","online","paid","left.c","demand",10,4,8,10,10,5,10,10,8,2,10,9,"stim_rig_sma_mky",3,"yes","right"
"7","R_2lidzsTMLnIiq31",2,70,5,"POL_01","online","paid","left.c","demand",10,4,8,10,10,5,10,10,8,2,10,9,"stim_lef_lar_mky",NA,"yes","left"
"8","R_2lidzsTMLnIiq31",2,70,5,"POL_01","online","paid","left.c","demand",10,4,8,10,10,5,10,10,8,2,10,9,"stim_lef_sma_mky",NA,"yes","left"
"9","R_2fdhhziXMIzDvkp",1,65,4,"POL_01","online","paid","left.c","demand",7,1,10,10,5,5,10,10,1,1,4,8,"stim_lef_sma_mkn",3,"no","left"
"10","R_2fdhhziXMIzDvkp",1,65,4,"POL_01","online","paid","left.c","demand",7,1,10,10,5,5,10,10,1,1,4,8,"stim_lef_lar_mkn",2,"no","left"
"11","R_2fdhhziXMIzDvkp",1,65,4,"POL_01","online","paid","left.c","demand",7,1,10,10,5,5,10,10,1,1,4,8,"stim_rig_sma_mkn",NA,"no","right"
"12","R_2fdhhziXMIzDvkp",1,65,4,"POL_01","online","paid","left.c","demand",7,1,10,10,5,5,10,10,1,1,4,8,"stim_rig_lar_mkn",NA,"no","right"
"13","R_2fdhhziXMIzDvkp",1,65,4,"POL_01","online","paid","left.c","demand",7,1,10,10,5,5,10,10,1,1,4,8,"stim_rig_lar_mky",2,"yes","right"
"14","R_2fdhhziXMIzDvkp",1,65,4,"POL_01","online","paid","left.c","demand",7,1,10,10,5,5,10,10,1,1,4,8,"stim_rig_sma_mky",4,"yes","right"
"15","R_2fdhhziXMIzDvkp",1,65,4,"POL_01","online","paid","left.c","demand",7,1,10,10,5,5,10,10,1,1,4,8,"stim_lef_lar_mky",NA,"yes","left"
