"vig","current_n","needed_n"
"01_p_tr1",17,18
"01_p_ang",13,22
"01_p_lin",19,16
"01_p_wor",13,22
"01_p_rev",12,23
"01_p_dig",17,18
"01_p_tap",19,16
"01_p_tr2",14,21
"01_p_vis",18,17
"01_p_sim",23,12
"01_p_dur",12,23
"01_p_log",19,16
"01_p_per",18,17
"01_p_dul",15,20
"01_p_unp",11,24
"01_p_anx",12,23
"01_p_spa",30,5
"01_p_res",19,16
"01_p_irr",9,26
"02_p_coo",10,25
"03_p_swi",17,18
"03_n_swi",15,20
"04_p_age",11,24
"04_n_age",8,27
"04_p_per",20,15
"04_n_per",13,22
"04_p_err",14,21
"04_n_err",21,14
"04_p_rea",25,10
"04_n_rea",12,23
"05_p_dis",23,12
"07_z_ver",16,19
"07_z_man",16,19
"08_p_pos",15,20
"08_p_fol",20,15
"08_n_pos",19,16
"08_n_fol",17,18
"08_p_drq",25,10
"08_n_drq",15,20
"09_p_sat",18,17
"09_n_sat",17,18
"11_p_hap",12,23
"11_z_hap",17,18
"11_p_ang",15,20
"11_z_ang",12,23
"12_p_hap",10,25
"12_z_hap",15,20
"12_p_ang",12,23
"12_z_ang",16,19
"14_p_res",18,17
"14_n_res",25,10
"15_p_nin",17,18
"15_p_yin",15,20
"16_p_new",13,22
"17_p_nin",16,19
"17_p_yin",17,18
"20_p_vis",19,16
"20_p_voc",14,21
"20_p_non",19,16
"20_p_bod",21,14
"20_p_pre",13,22
"20_z_vis",15,20
"20_z_voc",14,21
"20_z_non",17,18
"20_z_bod",17,18
"20_z_pre",16,19
"21_n_rat",20,15
"21_n_irr",19,16
"22_p_sim",18,17
"22_p_spi",18,17
"22_p_sen",16,19
"23_p_rea",14,21
"23_p_ari",20,15
"23_p_und",19,16
"23_p_pos",20,15
"23_z_rea",19,16
"23_z_ari",15,20
"23_z_und",21,14
"23_z_pos",12,23
"25_p_hap",16,19
"25_n_hap",12,23
"25_p_exh",22,13
"25_n_exh",11,24
"25_p_sad",11,24
"25_n_sad",8,27
"25_p_des",18,17
"25_n_des",12,23
"25_p_dep",22,13
"25_n_dep",22,13
"26_p_gri",11,24
"26_n_gri",12,23
"27_p_sal",13,22
"27_n_sal",25,10
"28_p_sim",16,19
"28_p_dis",13,22
"29_n_dep",21,14
"30_p_puz",18,17
"31_p_sho",14,21
"31_n_sho",18,17
"32_p_num",17,18
"32_n_num",19,16
"33_p_beh",23,12
"34_p_spa",19,16
"34_p_ver",18,17
"34_n_spa",19,16
"34_n_ver",13,22
"35_p_pus",15,20
"35_n_pus",22,13
"36_p_won",16,19
"36_n_won",18,17
"37_p_att",16,19
"38_p_err",17,18
"38_n_err",20,15
"39_p_sat",18,17
"39_n_sat",24,11
"40_p_new",12,23
"40_n_new",17,18
"41_p_nin",20,15
"41_p_yin",13,22
