"","title","abstract","MW_include","MW_rationale","NC_include","NC_rationale","note","authors","year","link","database"
"1","Cognitive factors in the conditioning of children's preferences","Investigated the effects of cognitive factors on 1st grade children's evaluations of a rewarded stimulus. The same stimulus was rewarded in 1 set of conditions and a different stimulus was rewarded in another, over 3 sessions. These conditions were orthogonally crossed with number of ratings or filler tasks made on 4 alternate days. A control for the effect of frequency of experience was provided. All Ss rated stimuli on the final or 7th day. The frequency of association of rewards with a critical stimulus was clearly related to the development of preferences. In addition, preference for a stimulus increased as a function of the number of ratings, especially for Ss who rated the same stimulus over all sessions, and as a function of the S's awareness of the E's reinforcement procedure and behavioral hypotheses. Alternate interpretations based on response-reward contingencies, frequency of exposure, and demand characteristics were provided. (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved)","0","2","N/A","N/A",NA,"Walls, Richard T.;Di Vesta, Francis J.","1970","https://www.proquest.com/scholarly-journals/cognitive-factors-conditioning-childrens/docview/615663695/se-2?accountid=14026","APA PsycInfo (2022)"
"2","Positive and negative attitudinal affect established by classical conditioning","Paired meaningful adjectives with the onset and offset of electric shock, to establish 2 attitudes, 1 based on negative affect and 1 based on positive affect, within each of 47 female undergraduates. Words paired with the onset of shock were evaluated more negatively; words paired with the offset of shock, more positively. Conditioned affect also generalized to words similar in meaning. Results were stronger for Ss who showed independent physiological evidence of conditioning and for the adjective which was initially more neutral in evaluation. The success of an elaborate cover story, including a disguised posttest given by a 2nd E, suggested that the demand characteristics of the experimental situation could not account for the data. (26 ref.) (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved)","0","2","0","N/A",NA,"Zanna, Mark P.;Kiesler, Charles A.;Pilkonis, Paul A.","1970","https://www.proquest.com/scholarly-journals/positive-negative-attitudinal-affect-established/docview/615654906/se-2?accountid=14026","APA PsycInfo (2022)"
"3","Model nurturance, demand characteristics of the modeling experiment, and altruism","Exposed 30 3rd grade and 50 5th grade children to a same-sex model who was either high or low in nurturance. 1/2 of nurtured and 1/2 of nonnurtured Ss then watched the model play a game and donate 1/2 of the rewards he won for good scores to charity (performance condition). The remaining Ss merely heard the model verbalize that he thought the appropriate behavior was to donate 1/2 of what he won to charity (verbalization condition). Ss then played the game alone and the amount of sharing they did was observed through a 1-way mirror. All Ss in the performance condition and nurtured females in the verbalization condition shared equally. The remaining Ss in the verbalization condition did not differ from a control group which was not exposed to any model and which virtually did not share. (23 ref.) (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved)","0","2","0","N/A",NA,"Grusec, Joan E.;Skubiski, Sandra L.","1970","https://www.proquest.com/scholarly-journals/model-nurturance-demand-characteristics-modeling/docview/615647557/se-2?accountid=14026","APA PsycInfo (2022)"
"4","A conceptual model of artifact in attitude change studies","Considers the variety of ways in which role-related motives of the psychological S, e.g., compliance with ""demand characteristics"" and ""evaluation apprehension,"" may confound the data of attitude-change studies. Recent experiments regarding these scores of artifact in attitude paradigms are reviewed and the findings are placed within a framework of 5 specific propositions. Suggestions are given for methodological modifications in future attitude studies. (4 p. ref.) (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved)","0","1","0","N/A",NA,"Silverman, Irwin;Shulman, Arthur D.","1970","https://www.proquest.com/scholarly-journals/conceptual-model-artifact-attitude-change-studies/docview/615758193/se-2?accountid=14026","APA PsycInfo (2022)"
"5","Relative effectiveness and validity of mood induction procedures: A meta-analysis","The effectiveness and validity of 11 mood induction procedures (MIPs) were compared by meta-analysis of 138 studies published in 1975–1990 in 22 scientific journals. 250 effects of the experimental induction of positive, elated and negative, depressed mood in adult nonclinical samples were integrated. Effect sizes were generally larger for negative mood inductions. Presentation of a film or story was most effective in inducing both mood states. Effects were especially large when Ss were explicitly instructed to enter the specified mood state. For elated mood, all other MIPs yielded considerably lower effectiveness scores. For induction of negative mood states, imagination, Velten, music, social interaction, and feedback MIPs were about as effective as the film/story MIP without instruction. Induction effects covaried with several study characteristics (e.g., control of demand characteristics, use of behavioral vs self-report measures). (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved)","0","1","0","N/A",NA,"Westermann, Rainer;Spies, Kordelia;Stahl, Günter;Hesse, Friedrich W.","1996","https://www.proquest.com/scholarly-journals/relative-effectiveness-validity-mood-induction/docview/618865470/se-2?accountid=14026","APA PsycInfo (2022)"
"6","Manuscript review in psychology: Psychometrics, demand characteristics, and an alternative model","Assesses the utility of the manuscript review process as a method for evaluating the quality of psychological research and suggests some ways that the review process may be improved. A review of the empirical literature in this area indicates that (1) inter-reviewer reliability in manuscript assessments is clearly inadequate, (2) reviewer bias can sometimes influence manuscript assessments, and (3) there is a dearth of empirical data supporting the predictive and discriminant validity of manuscript assessment procedures. Manuscript reviews seem to be more strongly influenced by chance factors than by systematic reviewer or editorial bias. An alternative approach to manuscript review based on an adversary model rather than a scientific model is presented. Changes in current publication policies that would allow research findings to be disseminated more efficiently are also described. (PsycInfo (2022) Database Record (c) 2020 APA, all rights reserved)","0","1","0","N/A",NA,"Bornstein, Robert F.","1991","https://www.proquest.com/scholarly-journals/manuscript-review-psychology-psychometrics-demand/docview/618161106/se-2?accountid=14026","APA PsycInfo (2022)"
"7","The Velten Mood Induction Procedure: A methodological review","Reviews experimental findings relating to the effectiveness of the Velten mood induction procedure. Evidence is provided from 46 experiments concerning behavioral and self-report measures of assessment. Implications for the use of this procedure in mood induction research are discussed. It is concluded that the findings relating to the Velten procedure's effectiveness, and assessments of the contribution of demand characteristics to the procedure, are inconsistent and equivocal. It is suggested that this inconsistency reflects a lack of experimental precision on the part of researchers, who have generally neglected to establish criteria defining adequate differences between mood conditions. (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved)","0","1","0","N/A",NA,"Kenealy, Pamela M.","1986","https://www.proquest.com/scholarly-journals/velten-mood-induction-procedure-methodological/docview/617381831/se-2?accountid=14026","APA PsycInfo (2022)"
"8","A literature review of subtle-obvious items on the MMPI","Reviews the literature relating to subtle and obvious items of the MMPI, focusing on D. N. Weiner's (see record 1948-04966-001) original development of subtle and obvious subscales, W. Seeman's (see PA, Vols 27:4270 and 28:2674) support for the concept of subtlety, and F. L. Duff's (see record 1966-02948-001) arguments concerning empirical vs face validity. Recent research exploring demand characteristics such as the paradoxical relationships under differing instruction sets and population issues is reviewed. Work on the development of a 5-point subtlety scale, the interaction with personality factors, and individual scale research is critiqued. Overall findings support the existence of a bimodal distribution of MMPI items along the subtley continuum. Suggestions for practical application are outlined. (20 ref) (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved)","0","1","0","N/A",NA,"Dubinsky, Susan;Gamble, Dorothy J.;Rogers, Martha L.","1985","https://www.proquest.com/scholarly-journals/literature-review-subtle-obvious-items-on-mmpi/docview/617050934/se-2?accountid=14026","APA PsycInfo (2022)"
"9","Psychological effects of complex environments during the life span: A review and theory","Reviews the literature supporting a theory of psychological effects of complex environments, which was suggested by research on the causal relationships between occupational conditions and psychological functioning. According to the theory, the complexity of an individual's environment is defined by its stimulus and demand characteristics: Stimuli of greater diversity and complexity will lead to increased intellectual flexibility and more self-directed orientation. It is suggested that environmental complexity leads to effective cognitive functioning across all stages of the life span. This effect has been found in both sexes, in several nations, and in other species. Although the evidence is not as extensive, environmental complexity also appears to lead to a self-directed rather than conformist orientation because, it is contended, complex environments reward initiative and independent judgment. (4 p ref) (PsycInfo (2022) Database Record (c) 2020 APA, all rights reserved)","0","1","0","N/A",NA,"Schooler, Carmi","1984","https://www.proquest.com/scholarly-journals/psychological-effects-complex-environments-during/docview/617066864/se-2?accountid=14026","APA PsycInfo (2022)"
"10","Hypnosis in the treatment of phobias: A review of the literature","A review of the clinical and experimental literature on the use of hypnosis in the treatment of phobic behavior indicates the following: (1) Hypnosis can be a powerful adjunct to the behavior therapies, particularly systematic desensitization. Hypnosis can also be used adjunctively in traditional insight-oriented therapy, although this form of treatment tends to be less effective with phobic behavior. (2) Treatment outcome will be enhanced when the phobia is discrete and singular rather than characterological or multiple. Self-referral and high motivation to change are good prognostic indicators, as is a high level of assessed hypnotic susceptibility. (3) The success of behavioral hypnotherapy can be attributed to enhanced ability to relax and produce vivid imagery as well as to the demand characteristics of the therapy situation and the heightened motivation and expectancy. (4) There is a need for more controlled research using clinical populations. At present, this area of clinical research is limited by serious methodological difficulties, including inadequate samples, inappropriate control groups, poorly defined treatments, and unvalidated outcome measures. A table is appended that lists 40 case studies reported from 1969 to 1981 and briefly describes the phobia studied and the treatment strategy and the outcome measure used in each. (49 ref) (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved)","0","1","0","N/A",NA,"McGuinness, Thomas P.","1984","https://www.proquest.com/scholarly-journals/hypnosis-treatment-phobias-review-literature/docview/617027871/se-2?accountid=14026","APA PsycInfo (2022)"
