"sub","demand","trial","block.num","happy","att.chk","awr","mot","pre","bel","opp","mot_gen","indiv_gend_var","indiv_agee_var","ethnicity"
"1","pos","hap","1",3,1,"1",1,1,1,2,1,"1",19,"4"
"1","pos","neu","1",3,1,"1",1,1,1,2,1,"1",19,"4"
"1","pos","hap","2",3,1,"1",1,1,1,2,1,"1",19,"4"
"1","pos","neu","2",3,1,"1",1,1,1,2,1,"1",19,"4"
"2","nil","hap","1",0.666666666666667,1,"2",0,0,0,3,0,"1",18,"1"
"2","nil","neu","1",0.666666666666667,1,"2",0,0,0,3,0,"1",18,"1"
"2","nil","hap","2",1.33333333333333,1,"2",0,0,0,3,0,"1",18,"1"
"2","nil","neu","2",0.666666666666667,1,"2",0,0,0,3,0,"1",18,"1"
"3","pos","hap","1",1,1,"1",1,2,3,2,0,"2",20,"1"
"3","pos","neu","1",0,1,"1",1,2,3,2,0,"2",20,"1"
"3","pos","hap","2",0.666666666666667,1,"1",1,2,3,2,0,"2",20,"1"
"3","pos","neu","2",0.333333333333333,1,"1",1,2,3,2,0,"2",20,"1"
"4","nil","hap","1",2.66666666666667,1,"1",3,2,0,2,2,"2",19,"2"
"4","nil","neu","1",0,1,"1",3,2,0,2,2,"2",19,"2"
"4","nil","hap","2",0.666666666666667,1,"1",3,2,0,2,2,"2",19,"2"
"4","nil","neu","2",0,1,"1",3,2,0,2,2,"2",19,"2"
"5","nil","hap","1",0,1,"2",0,0,-2,0,0,"2",22,"1"
"5","nil","neu","1",0,1,"2",0,0,-2,0,0,"2",22,"1"
"5","nil","hap","2",0,1,"2",0,0,-2,0,0,"2",22,"1"
"5","nil","neu","2",0,1,"2",0,0,-2,0,0,"2",22,"1"
"6","pos","hap","1",1.66666666666667,1,"1",0,2,1,3,0,"1",21,"1"
"6","pos","neu","1",0.666666666666667,1,"1",0,2,1,3,0,"1",21,"1"
"6","pos","hap","2",1.33333333333333,1,"1",0,2,1,3,0,"1",21,"1"
"6","pos","neu","2",1,1,"1",0,2,1,3,0,"1",21,"1"
"7","pos","hap","1",3.66666666666667,1,"1",3,3,0,4,0,"1",20,"2"
"7","pos","neu","1",0,1,"1",3,3,0,4,0,"1",20,"2"
"7","pos","hap","2",2,1,"1",3,3,0,4,0,"1",20,"2"
"7","pos","neu","2",0,1,"1",3,3,0,4,0,"1",20,"2"
"8","nil","hap","1",1,1,"2",2,3,3,4,0,"1",20,"6"
"8","nil","neu","1",0,1,"2",2,3,3,4,0,"1",20,"6"
"8","nil","hap","2",0,1,"2",2,3,3,4,0,"1",20,"6"
"8","nil","neu","2",0,1,"2",2,3,3,4,0,"1",20,"6"
"9","nil","hap","1",0,1,"2",0,0,-3,4,0,"1",21,"1"
"9","nil","neu","1",0,1,"2",0,0,-3,4,0,"1",21,"1"
"9","nil","hap","2",0,1,"2",0,0,-3,4,0,"1",21,"1"
"9","nil","neu","2",0,1,"2",0,0,-3,4,0,"1",21,"1"
"10","pos","hap","1",1.33333333333333,1,"1",0,1,1,2,0,"1",18,"1"
"10","pos","neu","1",1.33333333333333,1,"1",0,1,1,2,0,"1",18,"1"
"10","pos","hap","2",1.33333333333333,1,"1",0,1,1,2,0,"1",18,"1"
"10","pos","neu","2",2,1,"1",0,1,1,2,0,"1",18,"1"
"11","pos","hap","1",2.33333333333333,1,"1",0,1,0,4,0,"2",20,"6"
"11","pos","neu","1",0,1,"1",0,1,0,4,0,"2",20,"6"
"11","pos","hap","2",1.33333333333333,1,"1",0,1,0,4,0,"2",20,"6"
"11","pos","neu","2",0,1,"1",0,1,0,4,0,"2",20,"6"
"12","nil","hap","1",0.333333333333333,1,"2",-3,2,-2,1,0,"1",19,"1,6"
"12","nil","neu","1",0,1,"2",-3,2,-2,1,0,"1",19,"1,6"
"12","nil","hap","2",0,1,"2",-3,2,-2,1,0,"1",19,"1,6"
"12","nil","neu","2",0,1,"2",-3,2,-2,1,0,"1",19,"1,6"
"13","nil","hap","1",1,1,"2",0,1,-1,1,0,"2",21,"4"
"13","nil","neu","1",0,1,"2",0,1,-1,1,0,"2",21,"4"
"13","nil","hap","2",1,1,"2",0,1,-1,1,0,"2",21,"4"
