subject_id;demand;feedb_awar_var;heard_awar_var;hyp_awar_1;manip_belif_you;manip_belief_people;quali_chek_hap;quali_chek_neu;quali_chek_dis;exper_note_var;block.num;trial;happy;anger;hap;sat;enj;agg;irr;ann;dif
101;null;3;Yes;0;Yes;Yes;5;5;No distractions whatsoever;;1;happ;1.33333333333333;0.666666666666667;4;0;0;2;0;0;1
101;null;3;Yes;0;Yes;Yes;5;5;No distractions whatsoever;;2;happ;1.66666666666667;2;3;0;2;0;2;4;0
101;null;3;Yes;0;Yes;Yes;5;5;No distractions whatsoever;;3;happ;2;0.666666666666667;2;0;4;0;1;1;0
101;null;3;Yes;0;Yes;Yes;5;5;No distractions whatsoever;;1;neut;1;0;0;3;0;0;0;0;0
101;null;3;Yes;0;Yes;Yes;5;5;No distractions whatsoever;;2;neut;2.66666666666667;0.333333333333333;2;3;3;0;1;0;0
101;null;3;Yes;0;Yes;Yes;5;5;No distractions whatsoever;;3;neut;1;0.666666666666667;2;0;1;0;1;1;0
102;posi;2;No;1;I am not sure;I am not sure;6;6;I think I have a new neighbor who just decided to start building in his room .;The thing she specifically pointed out was that she was surprised the experiment took so much shorter than the timeslot said. It was scheduled for 45min, but she was done in 15min, so she was surprised about that and was not expecting that. Furthermore no important remarks.;1;happ;0.666666666666667;2;0;2;0;0;3;3;0
102;posi;2;No;1;I am not sure;I am not sure;6;6;I think I have a new neighbor who just decided to start building in his room .;The thing she specifically pointed out was that she was surprised the experiment took so much shorter than the timeslot said. It was scheduled for 45min, but she was done in 15min, so she was surprised about that and was not expecting that. Furthermore no important remarks.;2;happ;0;1.66666666666667;0;0;0;2;2;1;1
102;posi;2;No;1;I am not sure;I am not sure;6;6;I think I have a new neighbor who just decided to start building in his room .;The thing she specifically pointed out was that she was surprised the experiment took so much shorter than the timeslot said. It was scheduled for 45min, but she was done in 15min, so she was surprised about that and was not expecting that. Furthermore no important remarks.;3;happ;0;1.66666666666667;0;0;0;1;2;2;0
102;posi;2;No;1;I am not sure;I am not sure;6;6;I think I have a new neighbor who just decided to start building in his room .;The thing she specifically pointed out was that she was surprised the experiment took so much shorter than the timeslot said. It was scheduled for 45min, but she was done in 15min, so she was surprised about that and was not expecting that. Furthermore no important remarks.;1;neut;0;0;0;0;0;0;0;0;0
102;posi;2;No;1;I am not sure;I am not sure;6;6;I think I have a new neighbor who just decided to start building in his room .;The thing she specifically pointed out was that she was surprised the experiment took so much shorter than the timeslot said. It was scheduled for 45min, but she was done in 15min, so she was surprised about that and was not expecting that. Furthermore no important remarks.;2;neut;0.333333333333333;0;0;0;1;0;0;0;0
102;posi;2;No;1;I am not sure;I am not sure;6;6;I think I have a new neighbor who just decided to start building in his room .;The thing she specifically pointed out was that she was surprised the experiment took so much shorter than the timeslot said. It was scheduled for 45min, but she was done in 15min, so she was surprised about that and was not expecting that. Furthermore no important remarks.;3;neut;0;1.66666666666667;0;0;0;2;2;1;0
103;null;0;No;0;Yes;Yes;4;5;There were people talking in another room which I could hear clearly.;The participant had no clue of what the experiment was about, and he had heard of the facial feedback theory before, but he did not know what it was about exactly anymore. Again, the experiment took less than 20min to complete.;1;happ;0.333333333333333;0;0;0;1;0;0;0;0
103;null;0;No;0;Yes;Yes;4;5;There were people talking in another room which I could hear clearly.;The participant had no clue of what the experiment was about, and he had heard of the facial feedback theory before, but he did not know what it was about exactly anymore. Again, the experiment took less than 20min to complete.;2;happ;0.333333333333333;0;0;0;1;0;0;0;0
103;null;0;No;0;Yes;Yes;4;5;There were people talking in another room which I could hear clearly.;The participant had no clue of what the experiment was about, and he had heard of the facial feedback theory before, but he did not know what it was about exactly anymore. Again, the experiment took less than 20min to complete.;3;happ;0;0;0;0;0;0;0;0;0
103;null;0;No;0;Yes;Yes;4;5;There were people talking in another room which I could hear clearly.;The participant had no clue of what the experiment was about, and he had heard of the facial feedback theory before, but he did not know what it was about exactly anymore. Again, the experiment took less than 20min to complete.;1;neut;0;0;0;0;0;0;0;0;0
103;null;0;No;0;Yes;Yes;4;5;There were people talking in another room which I could hear clearly.;The participant had no clue of what the experiment was about, and he had heard of the facial feedback theory before, but he did not know what it was about exactly anymore. Again, the experiment took less than 20min to complete.;2;neut;0;0;0;0;0;0;0;0;0
103;null;0;No;0;Yes;Yes;4;5;There were people talking in another room which I could hear clearly.;The participant had no clue of what the experiment was about, and he had heard of the facial feedback theory before, but he did not know what it was about exactly anymore. Again, the experiment took less than 20min to complete.;3;neut;0;0;0;0;0;0;0;0;0
104;posi;3;Yes;0;I am not sure;Yes;5;5;My boyfriend was in the room;;1;happ;0.333333333333333;1.66666666666667;0;0;1;0;2;3;0
