"id","name","year","study","design","outcome","es.calc","direction","n.1","m.1","sd.1","n.2","m.2","sd.2","count.1","count.2","fval","tval","r","pval","es","es.var"
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","mirror tracing","f","positive",10,NA,NA,10,NA,NA,NA,NA,1.67,NA,NA,NA,0.577927331071996,0.20835
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","angular deviation","f","positive",10,NA,NA,10,NA,NA,NA,NA,0.25,NA,NA,NA,0.223606797749979,0.20125
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","linear deviation","f","positive",10,NA,NA,10,NA,NA,NA,NA,3.34,NA,NA,NA,0.817312669668102,0.2167
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","word recognition","t","negative",10,NA,NA,10,NA,NA,NA,NA,NA,0.5,NA,NA,-0.223606797749979,0.20125
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","reversible figure","f","positive",10,NA,NA,10,NA,NA,NA,NA,1.54,NA,NA,NA,0.554977477020464,0.2077
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","digit-symbol","f","positive",10,NA,NA,10,NA,NA,NA,NA,0.05,NA,NA,NA,0.1,0.20025
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","tapping speed","f","negative",10,NA,NA,10,NA,NA,NA,NA,2.26,NA,NA,NA,-0.672309452558864,0.2113
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","tracing speed","f","positive",10,NA,NA,10,NA,NA,NA,NA,4.57,NA,NA,NA,0.95603347221737,0.22285
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","visual pursuit","f","positive",10,NA,NA,10,NA,NA,NA,NA,0.22,NA,NA,NA,0.20976176963403,0.2011
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","size constancy","t","positive",10,NA,NA,10,NA,NA,NA,NA,NA,1.03,NA,NA,0.460630003364957,0.2053045
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","spiral aftereffect duration","f","positive",10,NA,NA,10,NA,NA,NA,NA,0.99,NA,NA,NA,0.44497190922574,0.20495
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","spiral aftereffect change","t","positive",10,NA,NA,10,NA,NA,NA,NA,NA,3.38,NA,NA,1.51158195278986,0.257122
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","logical deductions","t","negative",10,NA,NA,10,NA,NA,NA,NA,NA,1.64,NA,NA,-0.733430296619931,0.213448
3,"Discrete-state versus continuous models of the confidence-accuracy relationship in recognition memory",2021,1,"between","demand vs. no demand ""new""","m_sd","positive",16,1.09,1,16,0.8,1,NA,NA,NA,NA,NA,NA,0.29,0.1263140625
3,"Discrete-state versus continuous models of the confidence-accuracy relationship in recognition memory",2021,1,"between","demand vs. free ""new""","m_sd","positive",16,1.09,1,16,0.98,1,NA,NA,NA,NA,NA,NA,0.11,0.1251890625
