"id","name","year","study","published","student","paid","online","design","outcome","ref.type","vig.1","vig.2","es.calc","direction","n.1","m.1","sd.1","n.2","m.2","sd.2","count.1","count.2","fval","tval","pval","es","es.var"
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","mirror tracing, # times traced line went out of border;
experimental vs. control conditions","cvp","01_p_tr1","N/A","f","positive",10,NA,NA,10,NA,NA,NA,NA,1.67,NA,NA,0.577927331071996,0.20835
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","angular deviation, spatial orientation/drawing test; experimental vs. control conditions","cvp","01_p_ang","N/A","f","positive",10,NA,NA,10,NA,NA,NA,NA,0.25,NA,NA,0.223606797749979,0.20125
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","linear deviation, spatial orientation/drawing test; experimental vs. control conditions","cvp","01_p_lin","N/A","f","positive",10,NA,NA,10,NA,NA,NA,NA,3.34,NA,NA,0.817312669668102,0.2167
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","word recognition test score, experimental vs. control conditions","cvp","01_p_wor","N/A","t","negative",10,NA,NA,10,NA,NA,NA,NA,NA,0.5,NA,-0.223606797749979,0.20125
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","number of shifts identified in reversible figure, experimental vs. control conditions","cvp","01_p_rev","N/A","f","positive",10,NA,NA,10,NA,NA,NA,NA,1.54,NA,NA,0.554977477020464,0.2077
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","Wechsler Adult Intelligence Scale digit-symbol subtest score, experimental vs. control conditions","cvp","01_p_dig","N/A","f","positive",10,NA,NA,10,NA,NA,NA,NA,0.05,NA,NA,0.1,0.20025
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","MacQuarrie-Morris Test of Mechanical Ability, tapping speed, experimental vs. control conditions","cvp","01_p_tap","N/A","f","negative",10,NA,NA,10,NA,NA,NA,NA,2.26,NA,NA,-0.672309452558864,0.2113
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","MacQuarrie-Morris Test of Mechanical Ability, tracing speed, experimental vs. control conditions","cvp","01_p_tr2","N/A","f","positive",10,NA,NA,10,NA,NA,NA,NA,4.57,NA,NA,0.95603347221737,0.22285
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","MacQuarrie-Morris Test of Mechanical Ability, visual pursuit, experimental vs. control conditions","cvp","01_p_vis","N/A","f","positive",10,NA,NA,10,NA,NA,NA,NA,0.22,NA,NA,0.20976176963403,0.2011
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","distortions observed in simple geometrical forms, experimental vs. control conditions","cvp","01_p_sim","N/A","p","positive",10,NA,NA,10,NA,NA,NA,NA,NA,NA,0.02,1.14145887149466,0.232573208882846
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","duration of archimedes spiral aftereffect, experimental vs. control conditions","cvp","01_p_dur","N/A","f","positive",10,NA,NA,10,NA,NA,NA,NA,0.99,NA,NA,0.44497190922574,0.20495
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","archimedes spiral aftereffect change, experimental vs. control conditions","cvp","01_p_dur","N/A","t","positive",10,NA,NA,10,NA,NA,NA,NA,NA,3.38,NA,1.51158195278986,0.257122
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","correct logical deductions on Watson Glazer Appraisal of Critical Thinking, experimental vs. control conditions","cvp","01_p_log","N/A","t","negative",10,NA,NA,10,NA,NA,NA,NA,NA,1.64,NA,-0.733430296619931,0.213448
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","perceptual aberrations, experimental vs. control conditions","cvp","01_p_per","N/A","or","positive",10,NA,NA,10,NA,NA,4,7,NA,NA,NA,0.690684423645877,0.271396027613405
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","intellectual dullness, experimental vs. control conditions","cvp","01_p_dul","N/A","or","positive",10,NA,NA,10,NA,NA,1,8,NA,NA,NA,1.97569753806208,0.527714498137176
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","affective unpleasantness, experimental vs. control conditions","cvp","01_p_unp","N/A","or","positive",10,NA,NA,10,NA,NA,2,6,NA,NA,NA,0.98784876903104,0.316628698882306
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","anxiety fears, experimental vs. control conditions","cvp","01_p_anx","N/A","or","positive",10,NA,NA,10,NA,NA,4,6,NA,NA,NA,0.447089260370704,0.253302959105844
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","spatial disorientation, experimental vs. control conditions","cvp","01_p_spa","N/A","or","positive",10,NA,NA,10,NA,NA,2,6,NA,NA,NA,0.98784876903104,0.316628698882306
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","restlessness, experimental vs. control conditions","cvp","01_p_res","N/A","or","positive",10,NA,NA,10,NA,NA,2,7,NA,NA,NA,1.23144393230621,0.334721767389866
"1","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","irritability, experimental vs. control conditions","cvp","01_p_irr","N/A","or","positive",10,NA,NA,10,NA,NA,3,6,NA,NA,NA,0.690684423645877,0.271396027613405
"2","Hypothesis awareness as a demand characteristic in laboratory-based eating behaviour research: An experimental study",2019,1,"yes",NA,"no","no","between","residual changes in cookie intake","cvp","02_p_coo","N/A","t","positive",41,NA,NA,43,NA,NA,NA,NA,NA,-0.4,NA,0.0873119078760073,0.0476914350538854
"3","Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"yes",NA,"yes","no","between","differences in switches for lows in test phase, switch vs. maintain condition","pvn","03_p_swi","03_n_swi","m_sd","positive",11.5,16.5,5.76498048565648,11.5,13.6,8.47791247890659,NA,NA,NA,NA,NA,0.400028540509722,0.177391800722225
"3","Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"yes",NA,"yes","no","between","differences in switches for mediums in test phase, switch vs. maintain condition","pvn","03_p_swi","03_n_swi","m_sd","positive",12,16.6,3.81051177665153,12,12.3,4.50333209967908,NA,NA,NA,NA,NA,1.03084609819358,0.188805076628352
"3","Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"yes",NA,"yes","no","between","differences in switches for highs in test phase, switch vs. maintain condition","pvn","03_p_swi","03_n_swi","m_sd","positive",10.5,24.2,11.6653332571341,10.5,11.8,9.3970740126914,NA,NA,NA,NA,NA,1.1706842414775,0.223107180791518
"3","Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"yes",NA,"yes","no","within","differences in switches between the test and neutral block for lows in switch condition","cvp","03_p_swi","N/A","m_sd","positive",11.5,16.5,5.76498048565648,11.5,15,4.40851448903142,NA,NA,NA,NA,NA,0.287321527002279,0.0905458112990835
"3","Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"yes",NA,"yes","no","within","differences in switches between the test and neutral block for lows in maintain condition","nvc","03_n_swi","N/A","m_sd","positive",11.5,13.6,8.47791247890659,11.5,15,4.40851448903142,NA,NA,NA,NA,NA,0.190630634830176,0.0885365234319894
"3","Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"yes",NA,"yes","no","within","differences in switches between the test and neutral block for mediums in switch condition","cvp","03_p_swi","N/A","m_sd","positive",12,16.6,3.81051177665153,12,14.2,3.81051177665153,NA,NA,NA,NA,NA,0.629836657297774,0.0998622589531681
"3","Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"yes",NA,"yes","no","within","differences in switches between the test and neutral block for mediums in maintain condition","nvc","03_n_swi","N/A","m_sd","positive",12,12.3,4.50333209967908,12,14.2,3.81051177665153,NA,NA,NA,NA,NA,0.452380952380952,0.0918603552532124
"3","Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"yes",NA,"yes","no","within","differences in switches between the test and neutral block for highs in switch condition","cvp","03_p_swi","N/A","m_sd","positive",10.5,24.2,11.6653332571341,10.5,21,7.12881476824865,NA,NA,NA,NA,NA,0.314178785462394,0.0999384909159345
"3","Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"yes",NA,"yes","no","within","differences in switches between the test and neutral block for highs in maintain condition","nvc","03_n_swi","N/A","m_sd","positive",10.5,11.8,9.3970740126914,10.5,21,7.12881476824865,NA,NA,NA,NA,NA,1.08321535899694,0.151112167331756
"4","Did I do that? Expectancy effects of brain stimulation on error-related negativity and sense of agency",2017,1,"yes","mix","no","no","within","differences in perceived agency in improvement vs. control","cvp","04_p_age","N/A","t","negative",23,5.09,1.16,23,6.82,0.35,NA,NA,NA,6.99,NA,-1.45751575425895,0.0896598298676749
"4","Did I do that? Expectancy effects of brain stimulation on error-related negativity and sense of agency",2017,1,"yes","mix","no","no","within","differences in perceived agency in impairment vs. control","nvc","04_n_age","N/A","t","positive",23,4.04,1.24,23,6.82,0.35,NA,NA,NA,9.87,NA,2.05803726674333,0.135554725897921
"4","Did I do that? Expectancy effects of brain stimulation on error-related negativity and sense of agency",2017,1,"yes","mix","no","no","within","differences in perceived agency in improvement vs. impairment","pvn","04_p_age","04_n_age","t","positive",23,4.04,1.24,23,5.09,1.16,NA,NA,NA,-4.41,NA,0.9195485659917,0.0618602079395085
"4","Did I do that? Expectancy effects of brain stimulation on error-related negativity and sense of agency",2017,1,"yes","mix","no","no","within","differences in subjective performance in improvement vs. impairment","pvn","04_p_per","04_n_per","t","positive",23,3.09,0.79,23,2.35,0.76,NA,NA,NA,3.36,NA,0.700608431231771,0.0541489603024575
"4","Did I do that? Expectancy effects of brain stimulation on error-related negativity and sense of agency",2017,1,"yes","mix","no","no","within","differences in % of errors on congruent trials in the improvement vs. impairment demand conditions","pvn","04_p_err","04_n_err","m_sd","negative",23,1.5,1.81,23,1.6,1.74,NA,NA,NA,NA,NA,-0.0563051995551094,0.0435471799021074
"4","Did I do that? Expectancy effects of brain stimulation on error-related negativity and sense of agency",2017,1,"yes","mix","no","no","within","differences in % of errors on congruent trials in the improvement vs. control condition","cvp","04_p_err","N/A","m_sd","negative",23,1.4,1.97,23,1.6,1.74,NA,NA,NA,NA,NA,-0.107200472369202,0.043728085679917
"4","Did I do that? Expectancy effects of brain stimulation on error-related negativity and sense of agency",2017,1,"yes","mix","no","no","within","differences in % of errors on congruent trials in the impairment vs. control condition","nvc","04_n_err","N/A","m_sd","positive",23,1.5,1.81,23,1.4,1.97,NA,NA,NA,NA,NA,0.0527684280894847,0.0435387936305008
