"vig","m.att","m.mot","m.opp","m.bel","m.pre"
"01_p_ang",0.8125,0.346153846153846,1.84615384615385,0.615384615384616,0.807692307692308
"01_p_anx",0.764705882352941,0.769230769230769,2.11538461538462,1.38461538461538,0.961538461538461
"01_p_dig",0.888888888888889,0.34375,2.125,1,0.6875
"01_p_dul",0.833333333333333,0.5,2.06666666666667,0.933333333333333,0.866666666666667
"01_p_dur",0.833333333333333,0.166666666666667,1.9,1.23333333333333,0.7
"01_p_irr",0.944444444444444,0.676470588235294,2.08823529411765,1.29411764705882,0.970588235294118
"01_p_lin",0.756756756756757,0.5,2,1.10714285714286,0.678571428571429
"01_p_log",0.918918918918919,0.38235294117647,1.67647058823529,0.823529411764706,0.647058823529412
"01_p_per",0.911764705882353,0.193548387096774,2,1.06451612903226,0.903225806451613
"01_p_res",0.810810810810811,0.533333333333333,2.16666666666667,1.36666666666667,1.13333333333333
"01_p_rev",0.764705882352941,0.192307692307692,1.76923076923077,1.07692307692308,0.769230769230769
"01_p_sim",0.783783783783784,0.344827586206897,1.82758620689655,0.724137931034483,0.689655172413793
"01_p_spa",0.833333333333333,0.566666666666667,2.3,1.26666666666667,1.13333333333333
"01_p_tap",0.666666666666667,0.791666666666667,1.70833333333333,1.29166666666667,1.04166666666667
"01_p_tr1",0.837837837837838,-0.0645161290322581,2,1.19354838709677,0.225806451612903
"01_p_tr2",0.794117647058823,0.333333333333333,1.62962962962963,0.814814814814815,1.03703703703704
"01_p_unp",1,0.484848484848485,2.09090909090909,1.24242424242424,1.15151515151515
"01_p_vis",0.810810810810811,0.133333333333333,1.66666666666667,0.966666666666667,0.6
"01_p_wor",0.8,0.148148148148148,1.46428571428571,1.25925925925926,0.703703703703704
"02_p_coo",0.945945945945946,0.0285714285714286,2.94285714285714,-0.885714285714286,0.171428571428571
"03_n_swi",0.567567567567568,1.19047619047619,2.57142857142857,0.904761904761905,1.61904761904762
"03_p_swi",0.914285714285714,0.875,2.1875,0.125,1.21875
"04_n_age",0.764705882352941,-0.153846153846154,1.64,0.8,0.2
"04_n_err",0.944444444444444,0.205882352941176,2.29411764705882,0.941176470588235,0.411764705882353
"04_n_per",0.783783783783784,0.344827586206896,2.06896551724138,0.724137931034483,0.689655172413793
"04_n_rea",0.833333333333333,0.333333333333333,1.7,0.566666666666667,0.4
"04_p_age",0.911764705882353,0.774193548387097,2.03225806451613,0.709677419354839,1.16129032258065
"04_p_err",0.914285714285714,0.71875,1.5625,0.625,0.875
"04_p_per",0.837837837837838,0.774193548387097,1.80645161290323,0.806451612903226,1.12903225806452
"04_p_rea",0.864864864864865,0.8125,1.9375,0.875,1.03125
"05_p_dis",0.868421052631579,0.454545454545455,2.87878787878788,0.484848484848485,0.848484848484848
"07_z_man",0.861111111111111,-0.0333333333333334,2.51612903225806,-0.4,-0.0999999999999999
"07_z_ver",0.857142857142857,-0.133333333333333,2.53333333333333,-0.366666666666667,0.366666666666667
"08_n_drq",0.72972972972973,0.555555555555556,2.40740740740741,1.14814814814815,0.740740740740741
"08_n_fol",0.861111111111111,0.419354838709677,2.2258064516129,1.09677419354839,1.09677419354839
"08_n_pos",0.722222222222222,0.423076923076923,1.65384615384615,0.807692307692308,1
"08_p_drq",0.756756756756757,0.714285714285714,2.35714285714286,0.535714285714286,1.21428571428571
"08_p_fol",0.757575757575758,0.36,1.88,0.6,0.8
"08_p_pos",0.742857142857143,0.576923076923077,1.88461538461538,0.384615384615385,0.769230769230769
"09_n_sat",0.648648648648649,-0.625,2.375,-0.375,0.125
"09_p_sat",0.742857142857143,0.307692307692308,2.23076923076923,-0.653846153846154,0.576923076923077
"11_p_ang",0.88235294117647,0.633333333333333,2.46666666666667,1.06666666666667,0.966666666666667
"11_p_hap",0.942857142857143,0.545454545454546,2.54545454545455,0.878787878787879,1.24242424242424
"11_z_ang",0.676470588235294,0.217391304347826,2.39130434782609,0.695652173913043,0.652173913043478
"11_z_hap",0.705882352941177,0.416666666666667,2.375,0.208333333333333,0.75
"12_p_ang",0.945945945945946,0.228571428571429,2.71428571428571,0.657142857142857,0.828571428571429
"12_p_hap",0.916666666666667,0.727272727272727,2.54545454545455,1,1.15151515151515
"12_z_ang",0.45945945945946,0.470588235294118,2.58823529411765,0.0588235294117648,0.823529411764706
"12_z_hap",0.75,0.222222222222222,2.40740740740741,-0.185185185185185,0.592592592592593
"14_n_res",0.888888888888889,-0.0967741935483872,3.25806451612903,-0.0645161290322581,0.580645161290323
"14_p_res",0.648648648648649,-0.916666666666667,3.29166666666667,0,-0.833333333333333
"15_p_nin",0.810810810810811,0.266666666666667,2.7,0.8,0.6
"15_p_yin",0.848484848484849,0.75,3.14285714285714,1.07142857142857,1.82142857142857
"16_p_new",0.911764705882353,1.54838709677419,3.16129032258065,1.87096774193548,2.16129032258065
"17_p_nin",0.909090909090909,0.1,2.83333333333333,0.9,0.266666666666667
"17_p_yin",0.864864864864865,0.84375,3.125,0.90625,1.65625
"20_p_bod",0.611111111111111,0.318181818181818,1.63636363636364,0.409090909090909,1
"20_p_non",0.72972972972973,0.037037037037037,2.18518518518519,0.259259259259259,0.814814814814815
"20_p_pre",0.727272727272727,0.0416666666666667,2.5,0.625,1.33333333333333
"20_p_vis",0.694444444444444,0.52,2.2,0.24,0.88
"20_p_voc",0.903225806451613,0.5,1.85714285714286,0.428571428571428,1.14285714285714
"20_z_bod",0.81578947368421,0.2,2.1,0.266666666666667,0.733333333333333
"20_z_non",0.742857142857143,0,2.5,0.538461538461539,1
"20_z_pre",0.657142857142857,0.695652173913043,1.95652173913043,0.739130434782609,0.739130434782609
"20_z_vis",0.777777777777778,0.178571428571429,2.28571428571429,0.0357142857142858,0.5
"20_z_voc",0.805555555555556,0.758620689655172,2.06896551724138,0.551724137931034,0.896551724137931
"21_n_irr",0.894736842105263,0.352941176470588,2.32352941176471,0.470588235294118,0.647058823529412
"21_n_rat",0.837837837837838,0.0967741935483871,2.16129032258065,0.677419354838709,0.774193548387097
"22_p_sen",0.88235294117647,0.4,1.86666666666667,1.2,0.766666666666667
"22_p_sim",0.805555555555556,0.517241379310345,2.55172413793103,0.793103448275862,0.793103448275862
"22_p_spi",0.885714285714286,0.483870967741935,2,1.19354838709677,0.806451612903226
"23_p_ari",0.918918918918919,0.294117647058824,1.73529411764706,-0.117647058823529,0.970588235294118
"23_p_pos",0.945945945945946,0.657142857142857,2.45714285714286,0.771428571428571,0.942857142857143
"23_p_rea",0.868421052631579,0.090909090909091,2.06060606060606,0.212121212121212,0.636363636363636
"23_p_und",0.942857142857143,0.484848484848485,2.27272727272727,0.090909090909091,0.727272727272727
"23_z_ari",0.714285714285714,0.68,2.08,0.96,0.68
"23_z_pos",0.694444444444444,0.52,2.24,0.36,0.56
"23_z_rea",0.594594594594595,0.636363636363636,2,0.318181818181818,0.818181818181818
"23_z_und",0.611111111111111,0,2.18181818181818,-0.0454545454545454,0.272727272727273
"25_n_dep",0.942857142857143,-0.181818181818182,2.51515151515152,-0.818181818181818,0.303030303030303
"25_n_des",0.88235294117647,0.266666666666667,2.66666666666667,-0.3,0.766666666666667
