"es.id","study.id","ma.id","ma.doi","topic","additional_topic","g","d","sign.dir","N","n1","n2","es.type","comments","Year","Status","Experiment"
"3099","11962al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","null","45","NA","NA","d","NA","1981","P","N"
"3100","11963al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0.34","pos","60","NA","NA","d","NA","1988","P","N"
"3101","11964al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","1.62","neg","60","NA","NA","d","NA","1988","P","N"
"3102","11965al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","2.14","pos","30","NA","NA","d","NA","1983","P","N"
"3103","11966al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0.37","pos","294","NA","NA","d","NA","1982","P","N"
"3104","11967al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0.66","pos","104","NA","NA","d","NA","1992","P","N"
"3105","11968al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","null","118","NA","NA","d","NA","1990","P","N"
"3106","11969al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0.4","pos","118","NA","NA","d","NA","1990","P","N"
"3107","11970al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","1.22","pos","10","NA","NA","d","NA","1988","P","N"
"3108","11971al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0.89","neg","38","NA","NA","d","NA","1990","P","N"
"3109","11972al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0.68","neg","50","NA","NA","d","NA","1984","P","N"
"3110","11973al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","1.91","pos","16","NA","NA","d","NA","1987","P","N"
"3111","11974al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","null","60","NA","NA","d","NA","1987","P","N"
"3112","11975al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","null","9","NA","NA","d","NA","1976","P","N"
"3113","11976al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","null","20","NA","NA","d","NA","1994","P","N"
"3114","11977al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","null","88","NA","NA","d","NA","1979","P","N"
"3115","11978al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","null","141","NA","NA","d","NA","1994","P","N"
"3116","11979al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","null","50","NA","NA","d","NA","1995","P","N"
"3117","11980al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","null","50","NA","NA","d","NA","1995","P","N"
"3118","11981al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","1.28","neg","35","NA","NA","d","NA","1981","P","N"
"3119","11982al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0.54","neg","40","NA","NA","d","NA","1985","P","N"
"3120","11983al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","null","30","NA","NA","d","NA","1985","P","N"
"3121","11984al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0.37","pos","72","NA","NA","d","NA","1980","P","N"
"3122","11985al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","null","140","NA","NA","d","NA","1980","P","N"
"3123","11986al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","null","56","NA","NA","d","NA","1982","P","N"
"3124","11987al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","1.07","pos","62","NA","NA","d","NA","1994","P","N"
"3125","11988al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","pos","30","NA","NA","d","NA","1993","P","N"
"3126","11989al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0.58","pos","78","NA","NA","d","NA","1981","P","N"
"3127","11990al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","pos","40","NA","NA","d","NA","1983","P","N"
"3128","11991al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","pos","44","NA","NA","d","NA","1991","P","N"
"3129","11992al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","1.78","pos","98","NA","NA","d","NA","1977","P","N"
"3130","11993al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0.45","pos","72","NA","NA","d","NA","1979","P","N"
"3131","11994al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","null","72","NA","NA","d","NA","1979","P","N"
"3132","11995al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0.07","pos","168","NA","NA","d","NA","1976","P","N"
"3133","11996al","1038g","10.1023/A:1018802521676","Gender differences",NA,"NA","0","null","24","NA","NA","d","NA","1995","P","N"
