"name","value_1","value_2","value_3","rt_1","rt_2","rt_3","p","n","z","f"
"#01_p_tr1","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to trace a six-pointed star. While doing so, the researcher measures how often the traced line goes out of the border.",2100,6900,5250,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_ang","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to draw a variety of shapes described to you verbally. While doing so, the researcher measures how often the drawings have the incorrect angles.",2100,6900,5550,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_lin","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to draw a variety of shapes verbally described to you verbally. While doing so, the researcher measures how often the drawings have incorrect lines.",2100,6900,5550,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_wor","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you complete a word recognition test.",2100,6900,2400,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_rev","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you view an optical illusion and report how many times you succumb to the illusion.",2100,6900,3750,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_dig","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you complete a mental substitution task. The researcher assigns a symbol to specific digits, presents you with a list of digits, and measures how quickly you can  identify the symbol that corresponds to each digit.",2100,6900,6750,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_tap","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you complete a task measuring how many dots you can place in circles  in 30 seconds.",2100,6900,3900,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_tr2","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you complete  a task measuring how quickly you can trace a line through irregularly spaced openings.",2100,6900,3900,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_vis","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you complete a task measuring how well you trace complex series of lines.",2100,6900,3450,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_sim","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you view a series of simple shapes (e.g., a circle) from far away and are asked to report how many irregularities you detect.",2100,6900,5100,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_dur","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are shown a spinning spiral before shifting your gaze to a stationary spiral. This creates the illusion that the stationary spiral is spinning, and you are asked to report how long this illusion persists.",2100,6900,6750,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_log","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you complete a logical deductions test.",2100,6900,2400,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_per","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to report whether you experienced any perceptual aberrations.",2100,6900,3150,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_dul","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to report if you experienced any intellectual dullness.",2100,6900,3150,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_unp","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to report if you experienced any unpleasant emotions.",2100,6900,3150,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_anx","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to report if you experienced any anxiety.",2100,6900,3000,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_spa","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to report if you experienced any spatial disorientation.",2100,6900,3150,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_res","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to report if you experienced any restlessness.",2100,6900,3000,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#01_p_irr","Imagine that you are a university student completing an in-person study for payment.","The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterward, you are asked to report if you experienced any irritability.",2100,6900,3000,"Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
"#02_p_coo","Imagine that you are completing an in-person study as a volunteer.","The researcher informs you that they expect exposure to the color purple to increase food intake.","You are presented with a bowl of cookies and asked to rate them on a sheet, which is purple. You are given 10 minutes to complete this task, wherein you can taste and eat as many cookies as you would like.",1800,2400,6150,"Exposure to the color purple will increase food intake.","Exposure to the color purple will decrease food intake.","Exposure to the color purple will have no impact on food intake.","Exposure to the color purple will increase happiness."
"#03_p_swi","Imagine that you are completing an in-person study for €5 payment .","The researcher informs you that you will view an optical illusion wherein the orientation of the image appears to shift. After completing a measure of your ability to be hypnotized, the researcher says they believe people like you have a great ability to perceive a shift in the image.","You view the optical illusion for one minute, and you are asked to report how many times you see the image orientation shift.",1800,7350,3450,"People like you have a great ability to perceive a shift in the optical illusion.","People like you have a great ability to avoid perceiving a shift in the optical illusion.","Your ability to perceive shifts in the optical illusion are normal.","People like you have a great ability to memorize musical melodies."
"#03_n_swi","Imagine that you are completing an in-person study for €5 payment .","The researcher informs you that you will view an optical illusion wherein the orientation of the image appears to shift. After completing a measure of your ability to be hypnotized, the researcher says they believe people like you have a great ability to avoid perceiving a shift in the image.","You view the optical illusion for one minute, and you are asked to report how many times you see the image orientation shift.",1800,7500,3450,"People like you have a great ability to perceive a shift in the optical illusion.","People like you have a great ability to avoid perceiving a shift in the optical illusion.","Your ability to perceive shifts in the optical illusion are normal.","People like you have a great ability to memorize musical melodies."
"#04_p_age","Imagine that you are completing an in-person study as a volunteer or for extra credit.","The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will improve your performance.","You complete the visual perception test. Each time you make an error, you are asked to report whether your response was impacted by the brain stimulation.",2400,4800,3900,"A brain stimulation procedure will improve your performance.","A brain stimulation procedure will impair your performance.","A brain stimulation procedure will not impact your performance.","A brain stimulation procedure will make you lose your appetite."
"#04_n_age","Imagine that you are completing an in-person study as a volunteer or for extra credit.","The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will impair your performance.","You complete the visual perception test. Each time you make an error, you are asked to report whether your response was impacted by the brain stimulation.",2400,4800,3900,"A brain stimulation procedure will improve your performance.","A brain stimulation procedure will impair your performance.","A brain stimulation procedure will not impact your performance.","A brain stimulation procedure will make you lose your appetite."
"#04_p_per","Imagine that you are completing an in-person study as a volunteer or for extra credit.","The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will improve your performance.","You complete the visual perception test. Afterwards, you are asked to report whether your performance was impacted by the brain stimulation.",2400,4800,3150,"A brain stimulation procedure will improve your performance.","A brain stimulation procedure will impair your performance.","A brain stimulation procedure will not impact your performance.","A brain stimulation procedure will make you lose your appetite."
"#04_n_per","Imagine that you are completing an in-person study as a volunteer or for extra credit.","The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will impair your performance.","You complete the visual perception test. Afterwards, you are asked to report whether your performance was impacted by the brain stimulation.",2400,4800,3150,"A brain stimulation procedure will improve your performance.","A brain stimulation procedure will impair your performance.","A brain stimulation procedure will not impact your performance.","A brain stimulation procedure will make you lose your appetite."
"#04_p_err","Imagine that you are completing an in-person study as a volunteer or for extra credit.","The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will improve your performance.","You complete the visual perception test, and the number of errors you make is measured.",2400,4800,2250,"A brain stimulation procedure will improve your performance.","A brain stimulation procedure will impair your performance.","A brain stimulation procedure will not impact your performance.","A brain stimulation procedure will make you lose your appetite."
"#04_n_err","Imagine that you are completing an in-person study as a volunteer or for extra credit.","The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will impair your performance.","You complete the visual perception test, and the number of errors you make is measured.",2400,4800,2250,"A brain stimulation procedure will improve your performance.","A brain stimulation procedure will impair your performance.","A brain stimulation procedure will not impact your performance.","A brain stimulation procedure will make you lose your appetite."
"#04_p_rea","Imagine that you are completing an in-person study as a volunteer or for extra credit.","The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will improve your performance.","You complete the visual perception test, and the speed in which you complete the task is measured.",2400,4800,2550,"A brain stimulation procedure will improve your performance.","A brain stimulation procedure will impair your performance.","A brain stimulation procedure will not impact your performance.","A brain stimulation procedure will make you lose your appetite."
"#04_n_rea","Imagine that you are completing an in-person study as a volunteer or for extra credit.","The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will impair your performance.","You complete the visual perception test, and the speed in which you complete the task is measured.",2400,4800,2550,"A brain stimulation procedure will improve your performance.","A brain stimulation procedure will impair your performance.","A brain stimulation procedure will not impact your performance.","A brain stimulation procedure will make you lose your appetite."
"#05_p_dis","Imagine that you are a university student completing an in-person study as a volunteer or for course credit.","The researcher informs you that previous research has shown that green and blue colors will relax you and thus make unpleasant sounds more tolerable.","You sit in front of a green or blue screen, listen to three unpleasant sounds, and rate how uncomfortable they make you feel.",2850,3600,3450,"Green and blue colors will make unpleasant sounds more tolerable.","Green and blue colors will make unpleasant sounds less tolerable.","Green and blue colors will not impact the tolerability of unpleasant sounds.","Green and blue colors will make pleasant tastes more pronounced."
"#07_z_ver","Imagine that you are a university student completing an in-person study as a volunteer or for extra credit.","The researcher walks you to a hill and asks you to put on a heavy backpack. Afterwards, they tell you they expect the backpack to have no impact on your perception of the steepness of the hill.","While you stand at the bottom of the hill with the heavy backpack on, the researcher then asks you to verbally report how steep the hill is.",2850,5550,4050,"A heavy backpack you will wear will make a hill appear more steep.","A heavy backpack you will wear will make a hill appear less steep.","A heavy backpack you will wear will have no impact on your perception of the steepness of the hill.","A heavy backpack you will wear will have no impact on how much you sweat while climbing a hill."
"#07_z_man","Imagine that you are a university student completing an in-person study as a volunteer or for extra credit.","The researcher walks you to a hill and asks you to put on a heavy backpack. Afterwards, they tell you they expect the backpack to have no impact on your perception of the steepness of the hill.","While you stand at the bottom of the hill with the heavy backpack on, the researcher then asks you to use your hand to convey how steep the hill is.",2850,5550,4500,"A heavy backpack you will wear will make a hill appear more steep.","A heavy backpack you will wear will make a hill appear less steep.","A heavy backpack you will wear will have no impact on your perception of the steepness of the hill.","A heavy backpack you will wear will have no impact on how much you sweat while climbing a hill."
"#08_p_pos","Imagine that you are a university student completing an in-person study for extra credit.","The researcher hands you a booklet that explains that, in any given situation, your automatic thoughts about the situation come before your feelings about the situation.","You are then shown a series of images on a computer screen. For each image, you are asked whether you had thoughts or feelings first.",2250,3900,3750,"In any given situation, your automatic thoughts about the situation come before your feelings about the situation.","In any given situation, your automatic feelings about the situation come before your thoughts about the situation.","In any given situation, your feelings and thoughts about the situation emerge at the exact same time.","In any given situation, it is equally important to communicate your feelings as well as your thoughts."
"#08_p_fol","Imagine that you are a university student completing an in-person study for extra credit.","The researcher hands you a booklet that explains that, in any given situation, your automatic thoughts about the situation come before your feelings about the situation.","A week after you read this booklet, you are shown a series of images on a computer screen. For each image, you are asked whether you had thoughts or feelings first.",2250,3900,4650,"In any given situation, your automatic thoughts about the situation come before your feelings about the situation.","In any given situation, your automatic feelings about the situation come before your thoughts about the situation.","In any given situation, your feelings and thoughts about the situation emerge at the exact same time.","In any given situation, it is equally important to communicate your feelings as well as your thoughts."
